745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2015-1-23,15:00:00,41350,41650,40480,40790,1185602
2015-1-26,15:00:00,40680,40680,38900,39280,1511950
2015-1-27,15:00:00,39760,40750,39690,40300,1239414
2015-1-28,15:00:00,40120,40230,39320,39690,1243006
2015-1-29,15:00:00,39720,39920,39250,39300,1090418
2015-1-30,15:00:00,39180,39480,38890,39050,1157312
2015-2-2,15:00:00,39510,40320,39300,40260,1038834
2015-2-3,15:00:00,40050,40780,40030,40720,993632
2015-2-4,15:00:00,41060,41930,40800,41100,1102026
2015-2-5,15:00:00,41310,41470,40890,40940,960306
2015-2-6,15:00:00,40850,41650,40740,41600,902920
2015-2-9,15:00:00,41340,41520,40960,41180,797276
2015-2-10,15:00:00,41190,41420,41000,41220,559328
2015-2-11,15:00:00,40920,41140,40740,40990,688454
2015-2-12,15:00:00,41060,41100,40730,40990,538908
2015-2-13,15:00:00,41190,42140,41110,42010,863414
2015-2-16,15:00:00,41810,42110,41590,42090,503316
2015-2-17,15:00:00,41960,42140,41820,42050,351092
2015-2-25,15:00:00,42140,42210,41830,41940,240066
2015-2-26,15:00:00,41980,42610,41880,42510,659552
2015-2-27,15:00:00,42770,42920,42470,42730,760786
2015-3-2,15:00:00,42620,43250,42390,43170,709090
2015-3-3,15:00:00,42860,43190,42430,42520,686820
2015-3-4,15:00:00,42520,42530,42120,42440,475254
2015-3-5,15:00:00,42520,42570,42140,42470,506052
2015-3-6,15:00:00,42400,42680,42060,42180,513392
2015-3-9,15:00:00,42260,42300,41660,42260,781842
2015-3-10,15:00:00,42150,42720,42150,42180,632760
2015-3-11,15:00:00,42070,42260,41880,42030,527240
2015-3-12,15:00:00,41990,42550,41770,42520,769060
2015-3-13,15:00:00,42520,43000,42410,42840,722832
2015-3-16,15:00:00,42710,42850,42440,42830,540210
2015-3-17,15:00:00,42650,42980,42300,42450,687334
2015-3-18,15:00:00,42110,42440,41610,41630,809804
2015-3-19,15:00:00,41560,42000,41120,41730,823434
2015-3-20,15:00:00,41970,42510,41860,42040,842140
2015-3-23,15:00:00,42480,44050,42430,43690,1440572
2015-3-24,15:00:00,43620,44590,43560,43860,1023558
2015-3-25,15:00:00,43850,43940,43420,43690,770224
2015-3-26,15:00:00,43690,43990,43630,43920,754640
2015-3-27,15:00:00,44020,44330,43380,43770,980498
2015-3-30,15:00:00,43690,43970,43420,43830,741690
2015-3-31,15:00:00,43790,44060,43350,43350,694592
2015-4-1,15:00:00,43460,43660,43130,43270,650576
2015-4-2,15:00:00,43160,43620,43060,43520,716732
