745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014-8-15,15:00:00,14605,14735,14520,14595,448944
2014-8-18,15:00:00,14560,14810,14465,14685,485766
2014-8-19,15:00:00,14665,14765,14640,14740,381882
2014-8-20,15:00:00,14725,14805,14595,14730,477808
2014-8-21,15:00:00,14880,14905,14710,14745,443362
2014-8-22,15:00:00,14760,14960,14690,14875,498704
2014-8-25,15:00:00,14875,14915,14800,14800,316814
2014-8-26,15:00:00,14735,14790,14490,14610,560890
2014-8-27,15:00:00,14635,14715,14605,14675,385236
2014-8-28,15:00:00,14645,14660,14420,14500,449548
2014-8-29,15:00:00,14470,14530,14305,14370,508464
2014-9-1,15:00:00,14405,14415,14170,14195,439012
2014-9-2,15:00:00,14260,14445,14220,14330,453330
2014-9-3,15:00:00,14300,14395,14140,14235,517880
2014-9-4,15:00:00,14250,14420,14230,14360,403720
2014-9-5,15:00:00,14410,14435,13935,14015,653130
2014-9-9,15:00:00,14020,14020,13395,13440,623818
2014-9-10,15:00:00,13420,13595,13295,13390,608306
2014-9-11,15:00:00,13410,13425,13210,13330,593042
2014-9-12,15:00:00,13415,13545,13370,13455,495962
2014-9-15,15:00:00,13465,13570,13260,13515,527546
2014-9-16,15:00:00,13585,13710,13430,13520,489620
2014-9-17,15:00:00,13605,13645,13500,13555,391286
2014-9-18,15:00:00,13570,13625,13235,13310,545016
2014-9-19,15:00:00,13280,13360,12775,12825,741968
2014-9-22,15:00:00,12790,12790,12420,12420,396952
2014-9-23,15:00:00,12330,12425,12185,12205,694202
2014-9-24,15:00:00,12175,12360,12175,12265,504686
2014-9-25,15:00:00,12310,12385,11725,12080,1095002
2014-9-26,15:00:00,12035,12550,12010,12430,960474
2014-9-29,15:00:00,12365,12430,11980,12145,694438
2014-9-30,15:00:00,12165,12665,12165,12255,832754
2014-10-8,15:00:00,12270,12755,11970,12605,832042
2014-10-9,15:00:00,12660,12760,12385,12615,735816
2014-10-10,15:00:00,12560,12560,12255,12335,759802
2014-10-13,15:00:00,12325,12845,12320,12685,897804
2014-10-14,15:00:00,12800,12905,12585,12700,702540
2014-10-15,15:00:00,12665,12760,12495,12680,746686
2014-10-16,15:00:00,12550,12590,12350,12530,736752
2014-10-17,15:00:00,12885,13005,12695,12765,638066
2014-10-20,15:00:00,12800,12955,12760,12830,491490
2014-10-21,15:00:00,12795,12965,12655,12895,605872
2014-10-22,15:00:00,12940,12970,12740,12970,604542
2014-10-23,15:00:00,12880,13405,12870,13330,1103676
2014-10-24,15:00:00,13295,13490,13265,13485,619124
2014-10-27,15:00:00,13435,13440,13025,13175,766528
2014-10-28,15:00:00,13210,13380,13105,13295,745684
2014-10-29,15:00:00,13345,13575,13290,13555,861124
2014-10-30,15:00:00,13605,13640,13345,13430,744288
2014-10-31,15:00:00,13345,13570,13305,13415,752856
2014-11-3,15:00:00,13325,13375,13155,13255,634578
2014-11-4,15:00:00,13225,13285,12805,12945,883764
2014-11-5,15:00:00,12890,12890,12360,12360,770250
2014-11-6,15:00:00,12385,12475,12305,12415,647804
2014-11-7,15:00:00,12540,12890,12535,12735,929702
2014-11-10,15:00:00,12730,12935,12665,12820,595106
2014-11-11,15:00:00,12715,12905,12640,12785,699534
2014-11-12,15:00:00,12895,13275,12860,13170,911504
2014-11-13,15:00:00,13145,13245,13070,13195,587014
2014-11-14,15:00:00,13075,13290,12955,13055,856382
2014-11-17,15:00:00,13235,13415,12975,13030,827632
2014-11-18,15:00:00,13075,13075,12565,12670,859462
2014-11-19,15:00:00,12680,12940,12670,12840,765250
2014-11-20,15:00:00,12790,13100,12590,12935,1211066
2014-11-21,15:00:00,13060,13130,12555,12685,1407606
2014-11-24,15:00:00,12725,12795,12445,12710,865818
2014-11-25,15:00:00,12675,12805,12625,12805,714964
2014-11-26,15:00:00,12705,12820,12525,12595,852780
2014-11-27,15:00:00,12530,12870,12435,12740,906336
2014-11-28,15:00:00,12610,12770,12540,12695,792994
2014-12-1,15:00:00,12415,12455,12185,12350,684148
2014-12-2,15:00:00,12615,12785,12455,12530,524728
2014-12-3,15:00:00,12500,12530,12360,12490,600170
2014-12-4,15:00:00,12475,12915,12475,12660,819294
2014-12-5,15:00:00,12570,12660,12505,12560,583710
2014-12-8,15:00:00,12745,12750,12160,12205,805898
2014-12-9,15:00:00,12125,12185,11785,12175,732484
2014-12-10,15:00:00,11925,12180,11595,11900,1109502
2014-12-11,15:00:00,11755,12000,11680,11835,633890
2014-12-12,15:00:00,11820,12235,11815,12150,703804
2014-12-15,15:00:00,12135,12460,12065,12385,653140
2014-12-16,15:00:00,12305,12380,12180,12370,539906
2014-12-17,15:00:00,12370,12640,12250,12365,754298
2014-12-18,15:00:00,12445,12610,12295,12365,654862
2014-12-19,15:00:00,12410,12500,12280,12360,460428
2014-12-22,15:00:00,12435,12520,12320,12340,512142
2014-12-23,15:00:00,12265,12415,12085,12140,527056
2014-12-24,15:00:00,12145,12330,12100,12300,484008
2014-12-25,15:00:00,12290,12490,12235,12490,498890
2014-12-26,15:00:00,12575,12575,12395,12460,405578
2014-12-29,15:00:00,12485,12745,12425,12670,552914
2014-12-30,15:00:00,12650,13265,12625,13265,839612
2014-12-31,15:00:00,13295,13650,13280,13485,739724
2015-1-5,15:00:00,13430,13430,13150,13270,562780
2015-1-6,15:00:00,13180,13670,13175,13545,778598
2015-1-7,15:00:00,13445,13605,13220,13265,789674
2015-1-8,15:00:00,13290,13305,12980,13105,721514
2015-1-9,15:00:00,13165,13405,12930,13205,834086
2015-1-12,15:00:00,13200,13415,13190,13240,684436
2015-1-13,15:00:00,13160,13190,12865,12885,675042
2015-1-14,15:00:00,12805,12910,12355,12430,975016
2015-1-15,15:00:00,12485,12705,12435,12610,645474
2015-1-16,15:00:00,12560,12820,12425,12555,736506
2015-1-19,15:00:00,12520,12715,12460,12645,683720
2015-1-20,15:00:00,12530,12760,12530,12580,550790
2015-1-21,15:00:00,12625,12960,12385,12885,860536
2015-1-22,15:00:00,12820,13260,12820,13075,872014
2015-1-23,15:00:00,13080,13140,12890,13045,687076
2015-1-26,15:00:00,13080,13170,12695,12930,839468
2015-1-27,15:00:00,12940,13295,12940,13160,778906
2015-1-28,15:00:00,13110,13285,12965,13110,728000
2015-1-29,15:00:00,13095,13155,12895,12980,546278
2015-1-30,15:00:00,12940,13075,12700,12700,633292
2015-2-2,15:00:00,12765,13130,12650,13075,683698
2015-2-3,15:00:00,13090,13245,13040,13120,606618
2015-2-4,15:00:00,13190,13640,13110,13315,887352
2015-2-5,15:00:00,13385,13410,13175,13180,691248
2015-2-6,15:00:00,13235,13580,13200,13580,707180
2015-2-9,15:00:00,13540,13755,13390,13500,642856
2015-2-10,15:00:00,13475,13545,13340,13395,467058
2015-2-11,15:00:00,13345,13540,13275,13485,457684
2015-2-12,15:00:00,13470,13545,13310,13440,477906
2015-2-13,15:00:00,13490,13770,13430,13675,690514
2015-2-16,15:00:00,13680,13810,13620,13725,538346
2015-2-17,15:00:00,13735,13750,13430,13500,439424
2015-2-25,15:00:00,13385,13625,13385,13495,282736
2015-2-26,15:00:00,13505,13910,13480,13870,514890
2015-2-27,15:00:00,13880,13955,13670,13745,491948
2015-3-2,15:00:00,13760,13895,13455,13555,759730
2015-3-3,15:00:00,13540,13595,13115,13185,641632
2015-3-4,15:00:00,13195,13320,13115,13120,561722
2015-3-5,15:00:00,13115,13145,12865,12985,568958
2015-3-6,15:00:00,13005,13135,12805,12925,563232
2015-3-9,15:00:00,12920,13090,12750,13015,597392
2015-3-10,15:00:00,12975,13025,12690,12695,551552
2015-3-11,15:00:00,12695,13020,12660,12885,575738
2015-3-12,15:00:00,12910,13065,12830,13030,436630
2015-3-13,15:00:00,13030,13055,12895,12920,430082
2015-3-16,15:00:00,12890,12890,12560,12755,448140
2015-3-17,15:00:00,12760,12860,12675,12705,469336
2015-3-18,15:00:00,12665,12730,12540,12645,442574
2015-3-19,15:00:00,12620,12805,12585,12690,383180
2015-3-20,15:00:00,12700,12755,12525,12695,480854
2015-3-23,15:00:00,12740,13200,12725,13115,684540
2015-3-24,15:00:00,13155,13385,13085,13175,632650
2015-3-25,15:00:00,13165,13200,13010,13055,490456
2015-3-26,15:00:00,13095,13315,13035,13185,570796
2015-3-27,15:00:00,13140,13205,12725,12950,635536
2015-3-30,15:00:00,12960,12970,12750,12765,460912
2015-3-31,15:00:00,12780,12870,12645,12675,433600
2015-4-1,15:00:00,12655,12825,12635,12675,383706
2015-4-2,15:00:00,12685,12945,12670,12845,447954
2015-4-3,15:00:00,12830,12905,12710,12850,387696
2015-4-7,15:00:00,12855,13045,12855,12930,292190
2015-4-8,15:00:00,12915,12965,12605,12685,502188
2015-4-9,15:00:00,12660,12670,12255,12345,483476
2015-4-10,15:00:00,12370,12420,12275,12395,309848
2015-4-13,15:00:00,12395,12830,12395,12720,471128
2015-4-14,15:00:00,12760,12785,12555,12730,368034
2015-4-15,15:00:00,12725,12865,12680,12705,413098
2015-4-16,15:00:00,12715,12940,12635,12825,429126
2015-4-17,15:00:00,12840,12935,12715,12790,481686
2015-4-20,15:00:00,12775,12895,12750,12780,337134
2015-4-21,15:00:00,12745,13285,12685,13275,692496
2015-4-22,15:00:00,13275,13360,13185,13275,436448
2015-4-23,15:00:00,13280,13620,13255,13385,631006
2015-4-24,15:00:00,13430,13530,13385,13520,377422
2015-4-27,15:00:00,13575,14280,13460,14280,639548
2015-4-28,15:00:00,14310,14640,14210,14355,822904
