1685, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2012-7-25,15:00:00,22195,22620,22050,22055,521602
2012-7-26,15:00:00,22260,22350,21990,22210,523844
2012-7-27,15:00:00,22350,22800,22235,22745,577652
2012-7-30,15:00:00,22865,22930,22290,22365,578136
2012-7-31,15:00:00,22350,22620,22260,22445,565116
2012-8-1,15:00:00,22200,22700,22000,22500,684434
2012-8-2,15:00:00,22400,22675,22335,22605,526090
2012-8-3,15:00:00,22365,22475,22260,22470,464090
2012-8-6,15:00:00,22700,22795,22485,22595,376444
2012-8-7,15:00:00,22530,22885,22520,22695,472234
2012-8-8,15:00:00,22730,22810,22125,22135,557568
2012-8-9,15:00:00,22200,22500,22065,22465,658930
2012-8-10,15:00:00,22375,22645,22190,22300,649730
2012-8-13,15:00:00,22320,22320,21590,21645,708770
2012-8-14,15:00:00,21650,21680,20705,21380,980012
2012-8-15,15:00:00,21290,21460,20925,21335,897504
2012-8-16,15:00:00,21605,21645,21260,21405,589166
2012-8-17,15:00:00,21900,21920,21575,21760,567716
2012-8-20,15:00:00,21845,21845,21280,21415,582112
2012-8-21,15:00:00,21405,21630,21210,21560,617160
2012-8-22,15:00:00,21560,21750,21315,21395,616802
2012-8-23,15:00:00,21465,21925,21415,21880,755972
2012-8-24,15:00:00,21730,21845,21625,21770,467550
2012-8-27,15:00:00,22070,22585,22070,22545,640978
2012-8-28,15:00:00,22350,22510,22290,22365,478596
2012-8-29,15:00:00,22210,22305,21390,21610,760192
2012-8-30,15:00:00,21750,21885,21425,21770,674842
2012-8-31,15:00:00,21570,21640,21235,21490,535842
2012-9-3,15:00:00,21560,22230,21515,22110,514022
2012-9-4,15:00:00,22270,22340,21675,21815,624102
2012-9-5,15:00:00,21520,21775,21445,21605,461442
2012-9-6,15:00:00,21860,22200,21760,22030,570480
2012-9-7,15:00:00,21940,22515,21650,22165,797706
2012-9-10,15:00:00,22600,23070,22600,23045,582098
2012-9-11,15:00:00,22955,23300,22825,23290,665750
2012-9-12,15:00:00,23390,23610,23260,23400,616124
2012-9-13,15:00:00,23480,23535,23025,23080,525246
2012-9-14,15:00:00,24010,24675,23840,24370,739466
2012-9-17,15:00:00,24300,24435,24220,24385,482020
2012-9-18,15:00:00,23985,24660,23940,24305,765218
2012-9-19,15:00:00,24345,24620,24120,24535,589136
